Gender,Semester,Degree Program,"At university I feel physically exhausted.",Everything I do at university requires a great deal of effort.,"After a day at university, I find it hard to recover my energy.","When I get up in the morning, I lack the energy to start a new day",I want to be more productive but somehow I am unable to manage it,"When I try to study, I quickly get tired.","At the end of the day I feel mentally exhausted and drained.",I struggle to find any enthusiasm for studying,I feel a strong dislike my university,I feel indifferent about my university,I have trouble staying focused while studying,I feel unable to control my emotions,I get upset or sad without knowing why,I have trouble falling or staying asleep,I tend to worry,I feel tense and stressed,I feel anxious and/or suffer from panic attacks,Noise and crowds disturb me,I suffer from stomach and/or intestinal complaints,I suffer from headaches,"I suffer from muscle pain, for example, in the neck, shoulder, or back",Total Score
Male,4th,Data Science,1,2,2,4,2,3,3,2,4,4,0,3,3,2,3,3,3,3,0,3,0,50
Female,4th,Data Science,3,2,3,0,1,3,4,1,1,3,3,1,0,0,4,4,1,0,0,4,4,42
Male,2nd,EE,0,0,3,0,4,2,0,3,0,1,3,0,1,0,2,0,0,0,0,3,1,23
Female,4th,Data Science,4,4,4,2,3,3,3,1,0,0,2,3,3,4,4,4,4,4,3,4,4,63
Female,4th,Data Science,3,1,3,4,4,1,4,1,2,3,2,3,4,3,3,4,2,4,4,3,4,62
Female,6th,CS,2,1,3,3,4,3,3,4,1,1,0,1,0,1,3,4,3,3,1,2,2,45
Male,8th,Data Science,4,3,4,4,4,4,4,4,1,1,4,3,4,3,4,4,4,3,3,4,4,73
Male,8th,CS,2,1,3,3,1,1,3,4,4,0,1,2,1,3,1,2,1,1,2,3,0,39
Male,2nd,EE,0,0,0,3,2,0,4,0,4,4,0,0,0,0,0,0,0,4,0,0,0,21
Male,4th,Data Science,2,2,1,1,4,1,1,3,1,1,1,2,4,1,3,3,0,4,0,1,1,37
Female,6th,CS,3,3,4,4,4,4,4,4,4,2,4,2,3,3,3,4,3,3,1,3,4,69
Female,4th,Data Science,4,3,4,4,4,3,4,3,3,2,3,2,4,1,2,2,1,2,3,3,4,61
Male,4th,Data Science,1,1,2,2,3,2,4,3,4,4,3,0,4,0,2,2,1,2,3,1,2,46
Male,4th,Data Science,2,1,1,0,1,1,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,13
Male,4th,Data Science,4,0,4,4,1,4,4,4,4,4,2,3,0,0,3,0,0,2,0,3,0,46
Male,4th,BS-DS,4,3,4,4,3,4,4,4,2,4,4,3,4,4,4,4,0,3,4,4,4,74
Male,4th,BsDs,0,1,0,2,0,0,1,0,1,2,3,0,0,2,0,1,2,0,2,0,2,19
Male,4th,SE,3,3,4,3,4,3,4,2,4,2,3,2,2,3,2,3,2,1,0,1,1,52
Male,6th,BSCS,3,3,3,2,1,3,3,3,4,3,2,2,3,3,2,2,1,3,2,2,3,53
Female,4th,BSDS,1,2,3,1,1,2,2,1,1,1,2,1,2,1,2,1,0,3,1,1,1,30
Female,4th,BSSE,2,1,1,1,1,2,1,2,2,2,1,1,0,1,2,1,1,2,1,2,1,28
Male,6th,DS,1,1,2,1,4,4,2,4,2,4,2,1,0,3,0,1,1,4,0,2,1,40
Female,4th,BS Mass communication ,3,3,2,2,4,4,4,2,1,2,2,2,4,1,3,3,3,4,4,1,2,56
Male,6th,BS(CS),3,3,2,3,4,4,3,4,4,4,4,2,2,2,1,2,0,0,0,2,1,50
Male,6th,Computer science ,2,2,2,1,1,1,3,3,2,2,2,1,1,2,3,2,1,2,3,2,1,39
Male,6th,CS,1,1,1,1,3,2,2,2,0,1,2,2,1,1,3,2,1,3,1,1,3,34
Male,6th,BsCs,3,3,3,2,3,3,3,4,3,1,3,2,3,1,3,2,1,3,1,2,1,50
Female,6th,Bachelors,3,4,4,3,4,4,4,3,2,2,4,3,4,2,3,3,1,4,2,4,3,66
